creator_id,nickname,creator_type,persona_tags,pgy_url,profile_url,followers_count,liked_collected_count,quote_price,video_quote_price,budget_status,daily_read_median,daily_interaction_median,natural_cpe,image_cpm,video_cpm,status,topic_point
pgy-ref:5e3a237f00000000010003eb,瞌睡莲,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5e3a237f00000000010003eb?track_id=kolSimilar_f875c5839a1b4e74aaebc12886a80408&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5e3a237f00000000010003eb,5100.0,63000.0,600.0,600.0,通过,1257.0,281.0,1.66,,59.93,待补数据,海外留学生；参考合作形式：视频；阅读中位数 1257.0；互动中位数 281.0
pgy-ref:5e2fe604000000000100b98c,Victoria💜,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5e2fe604000000000100b98c?track_id=kolSimilar_1f6a993a8a704366a23938c190add76a&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5e2fe604000000000100b98c,4900.0,52000.0,700.0,,通过,2275.0,109.0,6.42,52.79,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 2275.0；互动中位数 109.0
pgy-ref:5e755118000000000100739c,乱七八糟炒饭,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5e755118000000000100739c?track_id=kolSimilar_1f6a993a8a704366a23938c190add76a&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5e755118000000000100739c,2200.0,22000.0,300.0,,通过,402.0,52.0,5.77,79.47,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 402.0；互动中位数 52.0
pgy-ref:5d4249a0000000001101d7ea,宣小飽,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5d4249a0000000001101d7ea?track_id=kolSimilar_1619ad54ab1e448d9ab2e0a7749e09e1&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5d4249a0000000001101d7ea,7500.0,137000.0,500.0,500.0,通过,18379.0,1407.0,0.21,,9.93,待补数据,留学背景；参考合作形式：视频；阅读中位数 18379.0；互动中位数 1407.0
pgy-ref:55f991db67bc6501628d2294,Chris克里斯小元,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/55f991db67bc6501628d2294?track_id=kolSimilar_8560e8276a1346e2be7ce9de9b1003dc&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/55f991db67bc6501628d2294,3600.0,13000.0,1500.0,1500.0,超预算,5241.0,904.0,1.68,,74.26,待补数据,留学背景；参考合作形式：视频；阅读中位数 5241.0；互动中位数 904.0
pgy-ref:64c3ceaa000000000b0052ce,艾达同学Ada,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/64c3ceaa000000000b0052ce?track_id=kolSimilar_8560e8276a1346e2be7ce9de9b1003dc&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/64c3ceaa000000000b0052ce,6000.0,22000.0,800.0,800.0,通过,619.0,46.0,6.17,,178.93,待补数据,留学背景；参考合作形式：视频；阅读中位数 619.0；互动中位数 46.0
pgy-ref:5ae539e611be106e0e3cef03,喂猪的屁屁,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5ae539e611be106e0e3cef03?track_id=kolSimilar_512645345212478c973947c02c68402d&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5ae539e611be106e0e3cef03,3000.0,49000.0,300.0,,通过,1163.0,106.0,2.82,48.41,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 1163.0；互动中位数 106.0
pgy-ref:5b65608de8ac2b22b0723c26,佳慧,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5b65608de8ac2b22b0723c26?track_id=kolMatch_665aa958ac2643db8926ee1c1865777e&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5b65608de8ac2b22b0723c26,2700.0,15000.0,750.0,750.0,通过,3439.0,390.0,1.16,,18.16,待补数据,海外留学生；参考合作形式：视频；阅读中位数 3439.0；互动中位数 390.0
pgy-ref:60238e44000000000101cbbd,酷盖甜茶,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/60238e44000000000101cbbd?track_id=kolMatch_665aa958ac2643db8926ee1c1865777e&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/60238e44000000000101cbbd,3900.0,82000.0,728.0,728.0,通过,51297.0,3796.0,0.1,,1.09,待补数据,海外留学生；参考合作形式：视频；阅读中位数 51297.0；互动中位数 3796.0
pgy-ref:5a941b774eacab4646c043d1,双下芭比粥💤,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a941b774eacab4646c043d1?track_id=kolSearch_c8bcaccb015d4afdbc634315fd67fc6b&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5a941b774eacab4646c043d1,1800.0,46000.0,600.0,600.0,通过,2588.0,90.0,4.42,,41.76,待补数据,海外留学生；参考合作形式：视频；阅读中位数 2588.0；互动中位数 90.0
pgy-ref:6400bd200000000029011360,qq历险记,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6400bd200000000029011360?track_id=kolSimilar_99c9bc2ed9c445c1985bfdd9bf618807&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/6400bd200000000029011360,1600.0,23000.0,350.0,,通过,1000.0,63.0,5.56,68.49,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 1000.0；互动中位数 63.0
pgy-ref:5d48312a0000000016022f4c,惹惹,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5d48312a0000000016022f4c?track_id=kolSimilar_fbaf0371d4f54e9aa50ff5a3ad08e7ad&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5d48312a0000000016022f4c,7500.0,28000.0,700.0,,通过,2395.0,526.0,1.46,54.98,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 2395.0；互动中位数 526.0
pgy-ref:5af6300811be1030a6f1b011,匡鲁昂Skye,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5af6300811be1030a6f1b011?track_id=kolSimilar_3ba21ee6d0b04d9db763b01c52f84def&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5af6300811be1030a6f1b011,5100.0,21000.0,400.0,,通过,2007.0,211.0,1.9,35.45,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 2007.0；互动中位数 211.0
